PropertyID,PropType,District,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price,Location,latitude,longitude,City,State,Country
189690.0,Residential,3.0,3190.0,Milwaukee Bungalow,1.0,1927.0,6.0,1167.0,1.0,3.0,1.0,1.0,2048.0,8/27/2019,155000.0,"1952 N WARREN AV,Milwaukee,wisconsin",43.0570639,-87.8932786,Milwaukee,Wisconsin,United States of America
189712.0,Residential,3.0,3190.0,Duplex O/S,2.0,1895.0,6.0,1728.0,2.0,4.0,2.0,0.0,3600.0,7/30/2019,204000.0,"1967 N OAKLAND AV,Milwaukee,wisconsin",43.0571988,-87.8902184,Milwaukee,Wisconsin,United States of America
189751.0,Residential,3.0,3190.0,Residence O/S,2.0,1904.0,7.0,1790.0,1.0,4.0,2.0,0.0,2880.0,5/31/2019,258300.0,"1508 E KANE PL,Milwaukee,wisconsin",43.056259,-87.891746,Milwaukee,Wisconsin,United States of America
189802.0,Residential,3.0,3190.0,Residence O/S,1.0,1900.0,6.0,1568.0,1.0,3.0,1.0,0.0,1838.0,9/6/2019,163000.0,"2115 N BARTLETT AV,Milwaukee,wisconsin",43.0591177,-87.8897892,Milwaukee,Wisconsin,United States of America
189834.0,Residential,3.0,3190.0,Residence O/S,1.5,1891.0,6.0,1446.0,1.0,3.0,1.0,1.0,4290.0,4/23/2019,241000.0,"1932 N FARWELL AV,Milwaukee,wisconsin",43.05577,-87.8893493,Milwaukee,Wisconsin,United States of America
189869.0,Residential,3.0,3240.0,Residence O/S,1.0,1900.0,7.0,1362.0,1.0,3.0,1.0,0.0,5080.0,9/27/2019,162500.0,"1724 N WARREN AV,Milwaukee,wisconsin",43.0535353,-87.8934998,Milwaukee,Wisconsin,United States of America
189953.0,Residential,3.0,3240.0,Cottage,2.0,1900.0,8.0,1670.0,1.0,4.0,1.0,1.0,5200.0,12/11/2019,150000.0,"1800-1802 N PULASKI ST,Milwaukee,wisconsin",43.0538159,-87.8954443,Milwaukee,Wisconsin,United States of America
189983.0,Residential,3.0,3240.0,Duplex O/S,2.0,1895.0,11.0,1824.0,2.0,5.0,2.0,0.0,3600.0,12/10/2019,190000.0,"1134-1136 E HAMILTON ST,Milwaukee,wisconsin",43.0544355,-87.89929,Milwaukee,Wisconsin,United States of America
190005.0,Residential,3.0,3240.0,Triplex,2.0,1890.0,13.0,2588.0,3.0,6.0,3.0,0.0,4800.0,6/21/2019,250000.0,"1860 N HUMBOLDT AV,Milwaukee,wisconsin",43.0557903,-87.8978256,Milwaukee,Wisconsin,United States of America
190071.0,Residential,3.0,3240.0,Duplex-Cottage,1.0,1891.0,7.0,1472.0,2.0,5.0,1.0,0.0,2540.0,10/18/2019,270000.0,"1748 N ARLINGTON PL,Milwaukee,wisconsin",43.0540605,-87.894701,Milwaukee,Wisconsin,United States of America
190079.0,Residential,3.0,3190.0,Duplex O/S,2.0,1907.0,10.0,1962.0,2.0,4.0,2.0,0.0,2500.0,2/20/2019,170000.0,"1961 N BARTLETT AV,Milwaukee,wisconsin",43.0575786,-87.8912186,Milwaukee,Wisconsin,United States of America
190103.0,Residential,3.0,3190.0,Residence O/S,1.0,1918.0,4.0,769.0,1.0,2.0,1.0,0.0,1350.0,11/22/2019,151500.0,"1707 E LAFAYETTE PL,Milwaukee,wisconsin",43.0571157,-87.8894786,Milwaukee,Wisconsin,United States of America
190376.0,Condominium,3.0,5924.0,Condo Duplex,3.0,2005.0,5.0,1499.0,1.0,2.0,2.0,1.0,0.0,7/8/2019,279000.0,"2120 N COMMERCE ST,Milwaukee,wisconsin",43.0581099,-87.897195,Milwaukee,Wisconsin,United States of America
190384.0,Condominium,3.0,5924.0,Condo Duplex,3.0,2005.0,5.0,1499.0,1.0,2.0,2.0,1.0,0.0,4/30/2019,275000.0,"2136 N COMMERCE ST,Milwaukee,wisconsin",43.0581202,-87.8967325,Milwaukee,Wisconsin,United States of America
190397.0,Condominium,3.0,5924.0,Condo Duplex,3.0,2005.0,5.0,1372.0,1.0,2.0,1.0,1.0,0.0,6/14/2019,299900.0,"2158 N COMMERCE ST,Milwaukee,wisconsin",43.0582565,-87.8960425,Milwaukee,Wisconsin,United States of America
190560.0,Residential,3.0,3170.0,Residence O/S,2.0,1899.0,10.0,2930.0,1.0,5.0,3.0,1.0,3240.0,7/24/2019,398500.0,"2102 E KENILWORTH PL,Milwaukee,wisconsin",43.0582023,-87.883653,Milwaukee,Wisconsin,United States of America
190572.0,Residential,3.0,3060.0,Duplex O/S,3.0,1905.0,12.0,4809.0,2.0,7.0,3.0,1.0,9100.0,4/18/2019,460000.0,"2245 N LAKE DR,Milwaukee,wisconsin",43.058887,-87.8819632,Milwaukee,Wisconsin,United States of America
190607.0,Residential,3.0,3190.0,Townhouse,2.0,1900.0,6.0,2178.0,2.0,6.0,2.0,0.0,3040.0,5/3/2019,185000.0,"2032-2034 N FARWELL AV,Milwaukee,wisconsin",43.0618959,-87.8837199,Milwaukee,Wisconsin,United States of America
190649.0,Residential,3.0,3170.0,Residence O/S,2.0,1905.0,9.0,2141.0,1.0,3.0,2.0,1.0,3150.0,5/13/2019,260000.0,"2032 E KENILWORTH PL,Milwaukee,wisconsin",43.0584152,-87.8841019,Milwaukee,Wisconsin,United States of America
190825.0,Condominium,3.0,5911.0,Condo Duplex,2.5,1893.0,5.0,1056.0,1.0,2.0,1.0,0.0,1.0,3/18/2019,220000.0,"2221 E IVANHOE PL,Milwaukee,wisconsin",43.0584933,-87.8828472,Milwaukee,Wisconsin,United States of America
190877.0,Condominium,3.0,5900.0,Low Rise 1-3 Stories,2.5,1912.0,7.0,2580.0,1.0,4.0,2.0,2.0,1.0,7/31/2019,415000.0,"2230 N SUMMIT AV,Milwaukee,wisconsin",43.0586055,-87.8832039,Milwaukee,Wisconsin,United States of America
190949.0,Residential,3.0,3240.0,Duplex O/S,2.0,1899.0,15.0,3262.0,2.0,7.0,2.0,0.0,3840.0,11/1/2019,292000.0,"1518-1520 N HUMBOLDT AV,Milwaukee,wisconsin",43.0599244,-87.8979464,Milwaukee,Wisconsin,United States of America
190956.0,Residential,3.0,3240.0,Duplex O/S,2.0,1875.0,12.0,2116.0,2.0,6.0,2.0,0.0,4080.0,10/2/2019,286000.0,"1524 N HUMBOLDT AV,Milwaukee,wisconsin",43.0499499,-87.8979262,Milwaukee,Wisconsin,United States of America
191069.0,Residential,3.0,3240.0,Triplex,2.0,1875.0,16.0,2824.0,3.0,5.0,3.0,0.0,3043.0,12/3/2019,184000.0,"1604 N FRANKLIN PL,Milwaukee,wisconsin",43.0507289,-87.8966391,Milwaukee,Wisconsin,United States of America
