Join_Count,TARGET_FID,PropertyID,PropType,taxkey,Address,District,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price,Location,latitude,longitude,AREA
0,187,859270.000000000000000,Residential,3200502000.000000000000000,2641-2643 N OAKLAND AV,3.000000000000000,3170.000000000000000,Duplex O/S,2.000000000000000,1899.000000000000000,12.000000000000000,,2.000000000000000,6.000000000000000,2.000000000000000,0.000000000000000,3600.000000000000000,10/29/2020,219900.000000000000000,"2641-2643 N OAKLAND AV,Milwaukee,wisconsin",43.065335008776408,-87.888005292518301,
1,188,861145.000000000000000,Residential,3200509000.000000000000000,2616 N BARTLETT AV,3.000000000000000,3190.000000000000000,Res O/S A & 1/2,1.500000000000000,1898.000000000000000,7.000000000000000,,1.000000000000000,4.000000000000000,2.000000000000000,0.000000000000000,3600.000000000000000,12/4/2020,220000.000000000000000,"2616 N BARTLETT AV,Milwaukee,wisconsin",43.066605150000001,-87.888960087298926,114.756854894000000
0,189,856900.000000000000000,Residential,3200607000.000000000000000,2555-2557 N BARTLETT AV,3.000000000000000,3190.000000000000000,Triplex,2.000000000000000,1906.000000000000000,18.000000000000000,,4.000000000000000,8.000000000000000,4.000000000000000,0.000000000000000,3600.000000000000000,8/10/2020,379000.000000000000000,"2555-2557 N BARTLETT AV,Milwaukee,wisconsin",43.073762709552895,-87.889108780672331,
0,190,859939.000000000000000,Residential,3200614200.000000000000000,2539-2541 N BARTLETT AV,3.000000000000000,3190.000000000000000,Duplex O/S,2.000000000000000,1900.000000000000000,10.000000000000000,,2.000000000000000,7.000000000000000,3.000000000000000,0.000000000000000,2500.000000000000000,10/23/2020,298000.000000000000000,"2539-2541 N BARTLETT AV,Milwaukee,wisconsin",43.073762709552895,-87.889108780672331,
0,191,859274.000000000000000,Residential,3200912000.000000000000000,1130-1132 E WALWORTH ST,3.000000000000000,3330.000000000000000,Duplex O/S,2.000000000000000,1914.000000000000000,11.000000000000000,,2.000000000000000,5.000000000000000,2.000000000000000,0.000000000000000,3654.000000000000000,10/23/2020,215000.000000000000000,"1130-1132 E WALWORTH ST,Milwaukee,wisconsin",43.061100131370587,-87.897045067377150,
1,192,850916.000000000000000,Residential,3201110000.000000000000000,2477 N OAKLAND AV,3.000000000000000,3190.000000000000000,Duplex O/S,2.000000000000000,1900.000000000000000,10.000000000000000,,2.000000000000000,4.000000000000000,2.000000000000000,0.000000000000000,3600.000000000000000,4/7/2020,245000.000000000000000,"2477 N OAKLAND AV,Milwaukee,wisconsin",43.063172350000002,-87.888332632031251,105.730174921000000
0,193,853339.000000000000000,Residential,3201117000.000000000000000,2465-2467 N OAKLAND AV,3.000000000000000,3190.000000000000000,Duplex O/S,2.000000000000000,1891.000000000000000,14.000000000000000,,2.000000000000000,7.000000000000000,3.000000000000000,0.000000000000000,3840.000000000000000,6/18/2020,283800.000000000000000,"2465-2467 N OAKLAND AV,Milwaukee,wisconsin",43.065335008776408,-87.888005292518301,
1,194,848258.000000000000000,Residential,3201250000.000000000000000,2436 N DOUSMAN ST,3.000000000000000,3330.000000000000000,Multiple Residential Bldgs,1.500000000000000,1912.000000000000000,11.000000000000000,,4.000000000000000,5.000000000000000,4.000000000000000,0.000000000000000,6000.000000000000000,2/3/2020,250000.000000000000000,"2436 N DOUSMAN ST,Milwaukee,wisconsin",43.062884750000002,-87.896428741152590,123.626222330000004
1,195,854630.000000000000000,Residential,3201505000.000000000000000,2411 N OAKLAND AV,3.000000000000000,3190.000000000000000,Residence O/S 2sty+,2.000000000000000,1888.000000000000000,7.000000000000000,,1.000000000000000,3.000000000000000,1.000000000000000,1.000000000000000,3600.000000000000000,7/9/2020,232000.000000000000000,"2411 N OAKLAND AV,Milwaukee,wisconsin",43.061674150000002,-87.888334446380725,81.531981346600006
1,196,853223.000000000000000,Condominium,3201632000.000000000000000,1607 E PARK PL,3.000000000000000,5782.000000000000000,Condo Townhouse,3.000000000000000,2001.000000000000000,6.000000000000000,,1.000000000000000,3.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,6/8/2020,389000.000000000000000,"1607 E PARK PL,Milwaukee,wisconsin",43.067221099999998,-87.890076550000003,608.604016716000046
1,197,856634.000000000000000,Residential,3209967000.000000000000000,2461 N DOUSMAN ST,3.000000000000000,3330.000000000000000,Res O/S A & 1/2,1.000000000000000,1900.000000000000000,7.000000000000000,,1.000000000000000,3.000000000000000,1.000000000000000,0.000000000000000,3000.000000000000000,8/21/2020,199000.000000000000000,"2461 N DOUSMAN ST,Milwaukee,wisconsin",43.063331300000002,-87.896880400000001,107.799898561999996
1,198,860489.000000000000000,Residential,3210002000.000000000000000,820 E WRIGHT ST,3.000000000000000,2890.000000000000000,Res O/S A & 1/2,1.000000000000000,1895.000000000000000,6.000000000000000,,1.000000000000000,2.000000000000000,2.000000000000000,0.000000000000000,2775.000000000000000,10/28/2020,161000.000000000000000,"820 E WRIGHT ST,Milwaukee,wisconsin",43.064009949999999,-87.900890700182856,110.124935914000005
1,199,854636.000000000000000,Residential,3210209000.000000000000000,2538 N BREMEN ST,3.000000000000000,2890.000000000000000,Duplex O/S,2.000000000000000,1900.000000000000000,11.000000000000000,,2.000000000000000,5.000000000000000,2.000000000000000,0.000000000000000,2160.000000000000000,7/10/2020,178000.000000000000000,"2538 N BREMEN ST,Milwaukee,wisconsin",43.064711449999997,-87.900154000996565,125.378611265999993
1,200,860240.000000000000000,Residential,3210528000.000000000000000,2545--A N WEIL ST,3.000000000000000,2890.000000000000000,Duplex O/S,1.500000000000000,1896.000000000000000,11.000000000000000,,2.000000000000000,4.000000000000000,2.000000000000000,0.000000000000000,2250.000000000000000,10/16/2020,145000.000000000000000,"2545--A N WEIL ST,Milwaukee,wisconsin",43.064874050000000,-87.899456327796599,104.867374104999996
0,201,855838.000000000000000,Residential,3210603000.000000000000000,2427-2429 N FRATNEY ST,3.000000000000000,2890.000000000000000,Duplex O/S,2.000000000000000,1920.000000000000000,12.000000000000000,,2.000000000000000,5.000000000000000,2.000000000000000,0.000000000000000,3600.000000000000000,7/31/2020,205000.000000000000000,"2427-2429 N FRATNEY ST,Milwaukee,wisconsin",43.057129405932578,-87.901213541217800,
1,202,857938.000000000000000,Residential,3210614000.000000000000000,710 E MEINECKE AV,3.000000000000000,2890.000000000000000,Duplex O/S,1.500000000000000,1895.000000000000000,11.000000000000000,,2.000000000000000,5.000000000000000,2.000000000000000,0.000000000000000,3600.000000000000000,9/24/2020,167000.000000000000000,"710 E MEINECKE AV,Milwaukee,wisconsin",43.062218649999998,-87.902470074999997,117.980458119999994
1,203,858193.000000000000000,Residential,3210615000.000000000000000,706 E MEINECKE AV,3.000000000000000,2890.000000000000000,Duplex O/S,1.500000000000000,1900.000000000000000,11.000000000000000,,2.000000000000000,5.000000000000000,2.000000000000000,0.000000000000000,3600.000000000000000,1/31/2020,159000.000000000000000,"706 E MEINECKE AV,Milwaukee,wisconsin",43.062298800000001,-87.902567199999993,141.566545187999992
1,204,855954.000000000000000,Residential,3210647000.000000000000000,910 E MEINECKE AV,3.000000000000000,2890.000000000000000,Cottage,1.500000000000000,1893.000000000000000,8.000000000000000,,1.000000000000000,4.000000000000000,1.000000000000000,0.000000000000000,3600.000000000000000,8/6/2020,154000.000000000000000,"910 E MEINECKE AV,Milwaukee,wisconsin",43.062355799999999,-87.900025383368913,101.631602646999994
1,205,859142.000000000000000,Residential,3210711000.000000000000000,2652 N WEIL ST,3.000000000000000,2890.000000000000000,Milwaukee Bungalow,1.500000000000000,1895.000000000000000,6.000000000000000,,1.000000000000000,3.000000000000000,1.000000000000000,0.000000000000000,3600.000000000000000,10/19/2020,190000.000000000000000,"2652 N WEIL ST,Milwaukee,wisconsin",43.066801200000000,-87.898931575794393,80.939205131799994
0,206,854304.000000000000000,Commercial,3210715000.000000000000000,931-933 E CENTER ST,3.000000000000000,6260.000000000000000,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",2.000000000000000,1885.000000000000000,0.000000000000000,,3.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,3600.000000000000000,7/21/2020,225000.000000000000000,"931-933 E CENTER ST,Milwaukee,wisconsin",43.067499521990491,-87.904429849780797,
0,207,854304.000000000000000,Commercial,3210715000.000000000000000,931-933 E CENTER ST,3.000000000000000,6260.000000000000000,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",2.000000000000000,1885.000000000000000,0.000000000000000,,3.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,3600.000000000000000,7/21/2020,225000.000000000000000,"931-933 E CENTER ST,Milwaukee,wisconsin",43.067499521990491,-87.904429849780797,
1,208,867233.000000000000000,Residential,3210717000.000000000000000,925 E CENTER ST,3.000000000000000,2890.000000000000000,Res O/S A & 1/2,1.000000000000000,1895.000000000000000,6.000000000000000,,1.000000000000000,3.000000000000000,1.000000000000000,0.000000000000000,3600.000000000000000,10/15/2020,199000.000000000000000,"925 E CENTER ST,Milwaukee,wisconsin",43.067300950000003,-87.899594817485905,113.951531157000005
1,209,858792.000000000000000,Residential,3210808000.000000000000000,2549 N BREMEN ST,3.000000000000000,2890.000000000000000,Res O/S A & 1/2,1.000000000000000,1880.000000000000000,6.000000000000000,,1.000000000000000,3.000000000000000,1.000000000000000,0.000000000000000,3120.000000000000000,10/21/2020,127000.000000000000000,"2549 N BREMEN ST,Milwaukee,wisconsin",43.064925700000003,-87.900666799999996,146.905605799999989
1,210,859913.000000000000000,Residential,3210826000.000000000000000,2545 N FRATNEY ST,3.000000000000000,2890.000000000000000,Duplex O/S,2.000000000000000,1910.000000000000000,8.000000000000000,,2.000000000000000,4.000000000000000,3.000000000000000,0.000000000000000,3600.000000000000000,9/30/2020,219000.000000000000000,"2545 N FRATNEY ST,Milwaukee,wisconsin",43.064832350000003,-87.901867817973638,88.809695376500002
1,211,861216.000000000000000,Residential,3210828000.000000000000000,2540 N PIERCE ST,3.000000000000000,2890.000000000000000,Res O/S A & 1/2,1.000000000000000,1889.000000000000000,7.000000000000000,,1.000000000000000,4.000000000000000,1.000000000000000,0.000000000000000,3172.000000000000000,11/23/2020,190000.000000000000000,"2540 N PIERCE ST,Milwaukee,wisconsin",43.064787150000001,-87.902603115595838,100.165131325999994
0,212,861077.000000000000000,Residential,3210832000.000000000000000,2556-2558 N PIERCE ST,3.000000000000000,2890.000000000000000,Dplx Bungalow,2.000000000000000,1925.000000000000000,10.000000000000000,,2.000000000000000,4.000000000000000,2.000000000000000,0.000000000000000,4598.000000000000000,11/5/2020,217900.000000000000000,"2556-2558 N PIERCE ST,Milwaukee,wisconsin",43.078376107464400,-87.902632067494139,
1,213,854755.000000000000000,Residential,3211009000.000000000000000,2620 N FRATNEY ST,3.000000000000000,2890.000000000000000,Cottage,1.000000000000000,1900.000000000000000,8.000000000000000,,1.000000000000000,3.000000000000000,2.000000000000000,0.000000000000000,3600.000000000000000,7/6/2020,207000.000000000000000,"2620 N FRATNEY ST,Milwaukee,wisconsin",43.066174199999999,-87.901364081287198,97.024965294099999
1,214,858926.000000000000000,Residential,3211021000.000000000000000,2628 N PIERCE ST,3.000000000000000,2890.000000000000000,Res O/S A & 1/2,1.000000000000000,1903.000000000000000,6.000000000000000,,1.000000000000000,3.000000000000000,1.000000000000000,0.000000000000000,3600.000000000000000,10/6/2020,215000.000000000000000,"2628 N PIERCE ST,Milwaukee,wisconsin",43.066324249999994,-87.902556435923756,123.974737038000001
0,215,862097.000000000000000,Residential,3211150000.000000000000000,2310-2312 N BREMEN ST,3.000000000000000,2890.000000000000000,Duplex O/S,2.000000000000000,1906.000000000000000,10.000000000000000,,2.000000000000000,4.000000000000000,2.000000000000000,0.000000000000000,2790.000000000000000,12/28/2020,210000.000000000000000,"2310-2312 N BREMEN ST,Milwaukee,wisconsin",43.064755617830897,-87.900398651583416,
1,216,861202.000000000000000,Residential,3211165000.000000000000000,915 E MEINECKE AV,3.000000000000000,2890.000000000000000,Duplex-Cottage,2.000000000000000,1901.000000000000000,6.000000000000000,,2.000000000000000,2.000000000000000,2.000000000000000,0.000000000000000,1600.000000000000000,10/23/2020,130000.000000000000000,"915 E MEINECKE AV,Milwaukee,wisconsin",43.061889250000000,-87.899883275027292,66.771690596599996
0,217,856855.000000000000000,Residential,3212104000.000000000000000,1012-1014 E CLARKE ST,3.000000000000000,2890.000000000000000,Duplex O/S,2.000000000000000,1901.000000000000000,10.000000000000000,,2.000000000000000,6.000000000000000,2.000000000000000,0.000000000000000,3600.000000000000000,8/18/2020,283000.000000000000000,"1012-1014 E CLARKE ST,Milwaukee,wisconsin",43.065661769842414,-87.901628995344666,
1,218,851187.000000000000000,Residential,3212126000.000000000000000,2604 N PIERCE ST,3.000000000000000,2890.000000000000000,Duplex O/S,1.500000000000000,1890.000000000000000,9.000000000000000,,2.000000000000000,4.000000000000000,2.000000000000000,0.000000000000000,3920.000000000000000,3/20/2020,138000.000000000000000,"2604 N PIERCE ST,Milwaukee,wisconsin",43.065880800000002,-87.902612675522988,113.154586527000006
0,219,856847.000000000000000,Residential,3212215000.000000000000000,2448-2450 N FRATNEY ST,3.000000000000000,2890.000000000000000,Multiple Residential Bldgs,2.000000000000000,1894.000000000000000,10.000000000000000,,4.000000000000000,4.000000000000000,4.000000000000000,0.000000000000000,3600.000000000000000,8/21/2020,275000.000000000000000,"2448-2450 N FRATNEY ST,Milwaukee,wisconsin",43.057129405932578,-87.901213541217800,
1,220,857027.000000000000000,Residential,3212222000.000000000000000,2478 N FRATNEY ST,3.000000000000000,2890.000000000000000,Duplex O/S,2.000000000000000,1895.000000000000000,7.000000000000000,,2.000000000000000,4.000000000000000,2.000000000000000,0.000000000000000,2480.000000000000000,9/3/2020,177000.000000000000000,"2478 N FRATNEY ST,Milwaukee,wisconsin",43.063727549999996,-87.901402649999994,124.035904861000006
0,221,855547.000000000000000,Residential,3212255000.000000000000000,1005-1007 E WRIGHT ST,3.000000000000000,2890.000000000000000,Duplex O/S,2.000000000000000,1889.000000000000000,12.000000000000000,,2.000000000000000,5.000000000000000,2.000000000000000,0.000000000000000,3600.000000000000000,7/30/2020,200000.000000000000000,"1005-1007 E WRIGHT ST,Milwaukee,wisconsin",43.063887329804871,-87.907456708191589,
0,222,851258.000000000000000,Residential,3540677000.000000000000000,1017-1019 E LAND PL,3.000000000000000,3240.000000000000000,Duplex O/S,2.000000000000000,1900.000000000000000,11.000000000000000,,2.000000000000000,5.000000000000000,2.000000000000000,1.000000000000000,2500.000000000000000,4/13/2020,267000.000000000000000,"1017-1019 E LAND PL,Milwaukee,wisconsin",43.055168113751719,-87.899443383821819,
1,223,862385.000000000000000,Residential,3540685000.000000000000000,1804 N ASTOR ST,3.000000000000000,3240.000000000000000,Duplex O/S,1.500000000000000,1905.000000000000000,10.000000000000000,,2.000000000000000,6.000000000000000,2.000000000000000,0.000000000000000,2500.000000000000000,7/8/2020,237500.000000000000000,"1804 N ASTOR ST,Milwaukee,wisconsin",43.054649100000006,-87.899208036294425,128.072264829999995
1,224,847849.000000000000000,Residential,3540699000.000000000000000,1015 E HAMILTON ST,3.000000000000000,3240.000000000000000,Cottage,1.500000000000000,1885.000000000000000,7.000000000000000,,1.000000000000000,3.000000000000000,1.000000000000000,0.000000000000000,2500.000000000000000,1/9/2020,179800.000000000000000,"1015 E HAMILTON ST,Milwaukee,wisconsin",43.054257149999998,-87.898929949862435,99.407820439399998
1,225,853655.000000000000000,Residential,3540724000.000000000000000,1769 N MARSHALL ST,3.000000000000000,3240.000000000000000,Residence O/S 2sty+,2.000000000000000,1885.000000000000000,0.000000000000000,,1.000000000000000,2.000000000000000,2.000000000000000,0.000000000000000,2600.000000000000000,6/29/2020,425000.000000000000000,"1769 N MARSHALL ST,Milwaukee,wisconsin",43.054183850000001,-87.901117729175496,116.070551762999997
1,226,862592.000000000000000,Residential,3550062000.000000000000000,1858 N CAMBRIDGE AV,3.000000000000000,3190.000000000000000,Residence O/S 2sty+,2.000000000000000,1900.000000000000000,8.000000000000000,,1.000000000000000,4.000000000000000,1.000000000000000,1.000000000000000,2970.000000000000000,11/24/2020,229000.000000000000000,"1858 N CAMBRIDGE AV,Milwaukee,wisconsin",43.055709350000001,-87.892196072738699,118.078055070000005
0,227,858122.000000000000000,Residential,3550119000.000000000000000,2028-2030 N CAMBRIDGE AV,3.000000000000000,3190.000000000000000,Duplex O/S,2.000000000000000,1870.000000000000000,15.000000000000000,,2.000000000000000,7.000000000000000,3.000000000000000,1.000000000000000,6000.000000000000000,10/23/2020,406550.000000000000000,"2028-2030 N CAMBRIDGE AV,Milwaukee,wisconsin",43.061222700000002,-87.891698349999999,
0,228,851627.000000000000000,Residential,3550123000.000000000000000,1516-1518 E IRVING PL,3.000000000000000,3190.000000000000000,Duplex O/S,2.000000000000000,1900.000000000000000,10.000000000000000,,2.000000000000000,3.000000000000000,2.000000000000000,0.000000000000000,2720.000000000000000,4/20/2020,307500.000000000000000,"1516-1518 E IRVING PL,Milwaukee,wisconsin",43.056632712216526,-87.890071768953504,
1,229,862939.000000000000000,Residential,3550131000.000000000000000,2002 N CAMBRIDGE AV,3.000000000000000,3190.000000000000000,Res O/S A & 1/2,1.000000000000000,1890.000000000000000,6.000000000000000,,1.000000000000000,2.000000000000000,2.000000000000000,0.000000000000000,2670.000000000000000,12/22/2020,240500.000000000000000,"2002 N CAMBRIDGE AV,Milwaukee,wisconsin",43.057217049999998,-87.892135739207319,123.132971882000007
1,230,858428.000000000000000,Residential,3550205000.000000000000000,1537 E NORTH AV,3.000000000000000,3190.000000000000000,Cottage,1.000000000000000,1900.000000000000000,7.000000000000000,,1.000000000000000,3.000000000000000,1.000000000000000,1.000000000000000,2750.000000000000000,10/14/2020,136000.000000000000000,"1537 E NORTH AV,Milwaukee,wisconsin",43.059912049999994,-87.890798774915311,113.480246331000004
